paper_id,titulo,doi,anio,citado_por,estado,ruta_pdf,notas
1,State of the art of finite control set model predictive control in power electronics,10.1109/tii.2012.2221469,2012,2228,descargado,data/pdfs/1.pdf,
2,PWM regenerative rectifiers: State of the art,10.1109/tie.2004.841149,2005,1215,descargado,data/pdfs/2.pdf,
3,High-performance control strategies for electrical drives: An experimental assessment,10.1109/tie.2011.2158778,2011,629,descargado,data/pdfs/3.pdf,
4,Predictive torque and flux control without weighting factors,10.1109/tie.2012.2206344,2012,496,descargado,data/pdfs/4.pdf,
5,Self-tuning virtual synchronous machine: A control strategy for energy storage systems to support dynamic frequency control,10.1109/tec.2014.2362577,2014,440,descargado,data/pdfs/5.pdf,
308,Self-Tuning Virtual Synchronous Machine: A Control Strategy for Energy Storage Systems to Support Dynamic Frequency Control,10.1109/tec.2014.2362577,2014,440,descargado,data/pdfs/308.pdf,
6,Improving passive filter compensation performance with active techniques,10.1109/tie.2002.807658,2003,354,descargado,data/pdfs/6.pdf,
7,Multiobjective switching state selector for finite-states model predictive control based on fuzzy decision making in a matrix converter,10.1109/tie.2012.2206343,2012,228,descargado,data/pdfs/7.pdf,
9,Current-source converter on-line pattern generator switching frequency minimization,10.1109/41.564158,1997,213,descargado,data/pdfs/9.pdf,
10,Current control for an indirect matrix converter with filter resonance mitigation,10.1109/tie.2011.2165311,2011,187,descargado,data/pdfs/10.pdf,
11,State variable decoupling and power flow control in PWM current-source rectifiers,10.1109/41.661308,1998,185,descargado,data/pdfs/11.pdf,
309,Virtual synchronous generator control in autonomous wind-diesel power systems,10.1109/epec.2009.5420953,2009,181,descargado,data/pdfs/309.pdf,
12,Predictive current control with input filter resonance mitigation for a direct matrix converter,10.1109/tpel.2011.2121920,2011,174,descargado,data/pdfs/12.pdf,
13,A comparative assessment of model predictive current control and space vector modulation in a direct matrix converter,10.1109/tie.2012.2206347,2012,173,descargado,data/pdfs/13.pdf,
14,Passivity-based PI control of switched power converters,10.1109/tcst.2004.833628,2004,168,descargado,data/pdfs/14.pdf,
15,Surveying solid-state transformer structures and controls: Providing highly efficient and controllable power flow in distribution grids,10.1109/mie.2019.2950436,2020,159,descargado,data/pdfs/15.pdf,
16,A robust phase-locked loop algorithm to synchronize static-power converters with polluted AC systems,10.1109/tie.2008.918638,2008,156,descargado,data/pdfs/16.pdf,
17,Selective harmonic elimination and current/voltage control in current/voltage-source topologies: A unified approach,10.1109/41.904556,2001,152,descargado,data/pdfs/17.pdf,
18,Design of a Discrete-Time Linear Control Strategy for a Multi-Cell UPQC,10.1109/tie.2011.2160511,2011,144,descargado,data/pdfs/18.pdf,
19,A current-source inverter fed induction motor drive system with reduced losses,10.1109/ias.1995.530282,1995,131,descargado,data/pdfs/19.pdf,
22,Decoupled current model and control of modular multilevel converters,10.1109/tie.2015.2405900,2015,112,descargado,data/pdfs/22.pdf,
23,Instantaneous reactive power minimization and current control for an indirect matrix converter under a distorted AC supply,10.1109/tii.2012.2194159,2012,112,descargado,data/pdfs/23.pdf,
24,A novel hybrid finite control set model predictive control scheme with reduced switching,10.1109/tie.2014.2308137,2014,106,descargado,data/pdfs/24.pdf,
25,FPGA v/s DSP performance comparison for a VSC-based STATCOM control application,10.1109/tii.2012.2222419,2012,94,descargado,data/pdfs/25.pdf,
26,Control of a matrix converter with imposed sinusoidal source currents,10.1109/tie.2011.2167114,2011,93,descargado,data/pdfs/26.pdf,
27,Regenerative medium-voltage AC drive based on a multicell arrangement with reduced energy storage requirements,10.1109/tie.2004.841095,2005,92,descargado,data/pdfs/27.pdf,
310,Active Filters,10.1109/41.793345,2017,92,descargado,data/pdfs/310.pdf,
28,Control of arm capacitor voltages in modular multilevel converters,10.1109/tpel.2015.2426183,2015,90,descargado,data/pdfs/28.pdf,
29,Digital implementation of selective harmonic elimination techniques in modular current source rectifiers,10.1109/tii.2012.2210232,2012,80,descargado,data/pdfs/29.pdf,
30,Decoupled control of the active and reactive power in three-phase PWM rectifiers based on non-linear control strategies,10.1109/pesc.1999.788992,1999,80,descargado,data/pdfs/30.pdf,
31,Selective harmonic elimination in multimodule three-phase current-source converters,10.1109/tpel.2009.2023658,2009,78,descargado,data/pdfs/31.pdf,
32,Operating experience of shovel drives for mining applications,10.1109/tia.2004.824508,2004,78,descargado,data/pdfs/32.pdf,
33,A combined artificial neural network and DSP approach to the implementation of space vector modulation techniques,10.1109/ias.1996.560195,1996,76,descargado,data/pdfs/33.pdf,
34,A new modulation method for a 13-level asymmetric inverter toward minimum THD,10.1109/tia.2013.2282494,2013,73,descargado,data/pdfs/34.pdf,
35,All-on-chip dq-frame based D-STATCOM control implementation in a low-cost FPGA,10.1109/tie.2012.2206353,2012,73,descargado,data/pdfs/35.pdf,
37,Inverters,10.1109/tie.2002.801052,2011,69,descargado,data/pdfs/37.pdf,
38,Design of a modular UPQC configuration integrating a components economical analysis,10.1109/tpwrd.2009.2028795,2009,66,descargado,data/pdfs/38.pdf,
39,Imposed sinusoidal source and load currents for an indirect matrix converter,10.1109/tie.2011.2172171,2011,63,descargado,data/pdfs/39.pdf,
40,"Analysis, design and control of a unified power-quality conditioner based on a current-source topology",10.1109/tpwrd.2012.2199524,2012,61,descargado,data/pdfs/40.pdf,
41,High performance speed control methods for electrical machines: An assessment,10.1109/icit.2010.5472503,2010,60,descargado,data/pdfs/41.pdf,
42,A single-stage zero-voltage zero-current-switched full-bridge DC power supply with extended load power range,10.1109/41.753764,2002,58,descargado,data/pdfs/42.pdf,
